"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"403","Kalo nonton Sri Asih harus mengosongkan kepala, merendahkan ekspektasi, terutama yg sering nonton film superhero, action, dan gelut2an",FALSE,1,NA,2022-11-22 12:10:43,FALSE,NA,"1595026992680046592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salxabila",0,FALSE,FALSE,NA,NA
"404","Pevita Pearce cantik banget di film Sri asih",FALSE,1,NA,2022-11-22 12:06:38,FALSE,NA,"1595025962240016384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Viniiiiita",0,FALSE,FALSE,NA,NA
"405","jmb! ada yg mw nemenin aku rewatch Sri Asih gak? split bills juga gapapa, f here 🤎 ga ada di like, nanti aku dm",FALSE,11,NA,2022-11-22 12:05:00,FALSE,NA,"1595025552477298688",NA,"<a href=""https://twitter.com/BaseJambi"" rel=""nofollow"">Base Budak Jambi</a>","BaseJambi",0,FALSE,FALSE,NA,NA
"406","kalo dipikirin, film Sri Asih seru bgt ya buat ngebangun universe nya BLCU

selain ngebangun universe, dia juga bik… https://t.co/z35phwUlSs",FALSE,0,NA,2022-11-22 12:01:59,TRUE,NA,"1595024794373984256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StaffOfSix",0,FALSE,FALSE,NA,NA
"407","Gilaaa sri asih bagus banget yak",FALSE,1,NA,2022-11-22 11:55:52,FALSE,NA,"1595023253637984258",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","balaa_77",0,FALSE,FALSE,NA,NA
"408","cabut ah, mending nonton sri asih",FALSE,1,NA,2022-11-22 11:53:05,FALSE,NA,"1595022554758275079",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","reihanahsan",0,FALSE,FALSE,NA,NA
"409","Gimana rekan-rekan semua? Apakah berkenan untuk dimulainya sidang perang teori film Sri Asih? https://t.co/WB5mf2XpeW",FALSE,9,NA,2022-11-22 11:51:10,FALSE,NA,"1595022069212643330",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pojokjagoan",0,FALSE,FALSE,NA,NA
"410","Sri Asih sangat menyenangkan buat ditonton! Latar cerita yang 'Indonesia Banget', gak berusaha dibarat-baratin, mak… https://t.co/BzsERHW3ji",FALSE,2,NA,2022-11-22 11:50:12,TRUE,NA,"1595021827897974784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iansaybani",0,FALSE,FALSE,NA,NA
"411","Gabut gini nonton sri asih kayaknya seru nih",FALSE,1,NA,2022-11-22 11:48:51,FALSE,NA,"1595021489635745792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ashbornz",0,FALSE,FALSE,NA,NA
"412","@Mfifa999 @sujwn_ @reza_rendy Kanigara adalah Maza, Sancaka adalah Gundala, Alana adalah Sri Asih, Awang adalah Godam.",FALSE,3,"Mfifa999",2022-11-22 11:42:30,FALSE,"1594949934012317696","1595019889932406784","600697527","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jagoan_Kancil",0,FALSE,FALSE,NA,NA
"413","@lusyyseptia @dytalrst @urdaily_boi Sesok sakwise awakmu odon sis gas sri asih",FALSE,0,"lusyyseptia",2022-11-22 11:41:21,FALSE,"1595019468455174145","1595019602463162368","1211689810705825793","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taniyeah",0,FALSE,FALSE,NA,NA
"414","Aku baru aja upload video review untuk film Sri Asih

https://t.co/inaEfp1YvI",FALSE,27,NA,2022-11-22 11:39:20,FALSE,NA,"1595019091827257344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jagoan_Kancil",5,FALSE,FALSE,NA,NA
"415","Mbak Jog, gimana kalau besok kita nonton film sri asih? Y/N? Nanti aku ketuk dm nya",FALSE,2,NA,2022-11-22 11:35:25,FALSE,NA,"1595018109286379520",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","jogjamnfs",0,FALSE,FALSE,NA,NA
"416","Sebelum nonton #SriAsih gw saranin ada baiknya nonton ulang film Gundala. Karena Gundala itu pengenalan karakter, S… https://t.co/T5pRlXHHAg",FALSE,0,NA,2022-11-22 11:30:43,TRUE,NA,"1595016925926789120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","er2en",0,FALSE,FALSE,NA,NA
"417","Jadi tadi me time dadakan abis dari JNT kan, makan hokben ana nonton sri asih, eh di telfon temen mau instal ms off… https://t.co/8R19LVTKk2",FALSE,1,NA,2022-11-22 11:30:42,TRUE,NA,"1595016918963847169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","STRKRSNDTY",0,FALSE,FALSE,NA,NA
"418","Ada yg udah nonton Sri Asih?

https://t.co/yAQ7L8QBth

#nobarkomik #sriasih

@komik_ksiana",FALSE,2,NA,2022-11-22 11:24:53,FALSE,NA,"1595015454804054021",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hi_Quds",2,FALSE,FALSE,NA,NA
"419","Gue abis nonton Sri Asih gilaaaaa keren banget bias women superhero gue nambah 1. MBAK ALANA I STAN YOU MBAK 👏🏻👏🏻❤❤… https://t.co/xqwjI7Kw7E",FALSE,0,NA,2022-11-22 11:24:44,TRUE,NA,"1595015420553351170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indriyarhy",0,FALSE,FALSE,NA,NA
"420","pengen nonton ini atau sri asih, bingung https://t.co/nEWZvB4jFh",FALSE,0,NA,2022-11-22 11:22:13,FALSE,NA,"1595014784327782406",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","phyxxn",0,FALSE,FALSE,NA,NA
"421","bingung mau nonton black panther atau sri asih",FALSE,0,NA,2022-11-22 11:22:09,FALSE,NA,"1595014768519020545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thisismosse",0,FALSE,FALSE,NA,NA
"422","Sri Asih, from Zero to Super Hero Perempuan Indonesia https://t.co/fiGEGmwvfD",FALSE,0,NA,2022-11-22 11:21:13,FALSE,NA,"1595014532170416128",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","kompasiana",0,FALSE,FALSE,NA,NA
"423","Sri Asih

This movie deserve an aplause!👏
Pevita sungguh cantik paripurna.

Credit after scene-nya huhuuy skali",FALSE,0,"acmardjani",2022-11-22 11:17:34,FALSE,"1587090565929218048","1595013615324909568","704657508","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","acmardjani",0,FALSE,FALSE,NA,NA
"424","SERRRRUUUUU BGT SRI ASIH ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥",FALSE,0,NA,2022-11-22 11:14:00,FALSE,NA,"1595012716896583681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sxrpxnsxrtia",0,FALSE,FALSE,NA,NA
"425","gokil sri asih seru bangett",FALSE,0,NA,2022-11-22 11:12:27,FALSE,NA,"1595012327346417665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wkdlewleks",0,FALSE,FALSE,NA,NA
"426","beberapa dialog di sri asih agak bikin cringe jujur, tapi setelah aku liat-liat, cocok sama latar waktunya sih. ove… https://t.co/6Y4DYjzpAZ",FALSE,0,NA,2022-11-22 11:11:23,TRUE,NA,"1595012057367478272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kertmas",0,FALSE,FALSE,NA,NA
"427","jefri di sri asih kumel dan lemes banget, aku suka",FALSE,0,NA,2022-11-22 11:09:20,FALSE,NA,"1595011542587957248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kertmas",0,FALSE,FALSE,NA,NA
"428","@upirocks @jokoanwar Tentu mba, apalagi dari 2 film (Gundala x Sri Asih) udah banyak hal yang ditease sangat sia si… https://t.co/2RFaoEdfUc",FALSE,0,"upirocks",2022-11-22 11:09:03,TRUE,"1594952089708679168","1595011470399442944","80512175","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maszaza_",0,FALSE,FALSE,NA,NA
